Klassfikation;Gruppe;pct;n
Standardklassifikation;Dansk herkomst;"95%";29967
Standardklassifikation;Indvandrere;"43%";697
Standardklassifikation;Efterkommere;"31%";1417
Udvidet klassifikation;A: Dansk/dansk;"95%";27057
Udvidet klassifikation;B: Dansk/ukendt;"94%";1452
Udvidet klassifikation;C: Dansk/vestlig;"92%";852
Udvidet klassifikation;D: Dansk/ikke-vestlig;"85%";468
Udvidet klassifikation;E: Vestlig/vestlig ;"86%";131
Udvidet klassifikation;F: Vestlig/ikke-vestlig;"60%";42
Udvidet klassifikation;G: Ikke-vestlig/ikke-vestlig;"25%";1604
Udvidet klassifikation;H: Øvrige;"63%";475
